population	year	ppt	tasmax	tasmin
BH	1981	596.79	309.19	277.28999999999996
BH	1982	1111.75	306.60999999999996	273.54999999999995
BH	1983	1128.2300000000002	306.15	275.84
BH	1984	379.92	309.27	274.69
BH	1985	454.13	308.65	274.14
BH	1986	572.37	308.59	275.58
BH	1987	451.0300000000001	306.72999999999996	273.65
BH	1988	443.0799999999999	309.47999999999996	273.97999999999996
BH	1989	390.21	308.26	272.40999999999997
BH	1990	352.13999999999993	308.35999999999996	271.62
BH	1991	559.1399999999999	308.39	274.34
BH	1992	559.43	308.55999999999995	273.88
BH	1993	683.3499999999999	306.34999999999997	274.83
BH	1994	455.91999999999996	308.94	274.66999999999996
BH	1995	838.18	307.84999999999997	277.08
BH	1996	974.36	309.59	276.57
BH	1997	481.3	306.82	274.78
BH	1998	915.2499999999999	308.85999999999996	272.57
BH	1999	407.25	306.94	274.32
BH	2000	723.9399999999999	308.01	275.06
BH	2001	635.2	308.46999999999997	273.9
BH	2002	438.80999999999995	309.34999999999997	274.54999999999995
BH	2003	432.48999999999995	310.34999999999997	275.41999999999996
BH	2004	531.54	308.55999999999995	275.14
BH	2005	756.5000000000001	310.51	276.33
BH	2006	662.03	310.32	274.73999999999995
BH	2007	345.93	307.83	272.09999999999997
BH	2008	480.54	308.39	274.60999999999996
BH	2009	534.66	309.15999999999997	274.71
BH	2010	866.6900000000002	307.89	276.73999999999995
CC	1981	1307.56	308.39	277.53999999999996
CC	1982	1370.1599999999999	306.15	274.40999999999997
CC	1983	1885.28	306.25	276.42999999999995
CC	1984	725.7	309.49	275.34
CC	1985	634.8299999999999	307.88	273.79999999999995
CC	1986	1153.0800000000002	307.85999999999996	275.66999999999996
CC	1987	882.1300000000001	307.03	274.34999999999997
CC	1988	760.65	309.49	275.45
CC	1989	791.59	307.57	274.5
CC	1990	698.91	307.95	272.58
CC	1991	862.7599999999999	307.76	275.12
CC	1992	932.8900000000001	308.88	274.87
CC	1993	1257.65	306.2	275.47999999999996
CC	1994	818.97	308.39	274.98999999999995
CC	1995	1589.2099	307.34999999999997	278.7
CC	1996	1444.7999999999997	309.09999999999997	277.12
CC	1997	962.6500000000001	307.59	276.89
CC	1998	1614.85	308.54999999999995	274.65
CC	1999	759.62	305.67999999999995	276.19
CC	2000	1073.52	307.02	276.46
CC	2001	1036.8	307.47999999999996	275.46999999999997
CC	2002	951.3699999999999	307.90999999999997	275.96
CC	2003	1005.11	309.49	277.09
CC	2004	900.0600000000001	307.42999999999995	276.69
CC	2005	1315.6399999999996	309.49	277.09
CC	2006	1201.68	309.88	276.83
CC	2007	715.12	307.42999999999995	274.42999999999995
CC	2008	687.7900000000001	308.09999999999997	275.17999999999995
CC	2009	837.2799999999999	308.25	275.75
CC	2010	1359.4600000000003	307.28999999999996	278.45
CP2	1981	1538.8000000000002	298.75	267.71999999999997
CP2	1982	2177.4900000000002	295.62	265.38
CP2	1983	2489.7900000000004	294.03999999999996	267.39
CP2	1984	1099.21	297.22999999999996	265.71
CP2	1985	1042.65	297.78999999999996	265.53999999999996
CP2	1986	1386.9899	297.92999999999995	269
CP2	1987	930.71	298.38	265.89
CP2	1988	841.4799999999999	298.97999999999996	266.33
CP2	1989	1146.54	296.91999999999996	265.22999999999996
CP2	1990	803.3299999999998	296.89	263.54999999999995
CP2	1991	1054.75	296.77	265.69
CP2	1992	1171.29	297.38	265.21
CP2	1993	1260.27	295.42999999999995	265.65999999999997
CP2	1994	1049.36	299.15999999999997	264.92999999999995
CP2	1995	1854.5598000000002	296.84	268.29999999999995
CP2	1996	2161.6	298.34999999999997	268.13
CP2	1997	1117.1598999999999	297.06	266.44
CP2	1998	1809.1899999999998	298.22999999999996	265.95
CP2	1999	1226.13	296.34	265.7
