id	cvar	period	gcm	scenario	spag	dt	val
BH	tasmax	year	HadGEM2-ES	rcp45	none	2040-12-31	297.7055969238
BH	tasmax	year	HadGEM2-ES	rcp45	none	2041-12-31	297.8857116699
BH	tasmax	year	HadGEM2-ES	rcp45	none	2042-12-31	297.0235290527
BH	tasmax	year	HadGEM2-ES	rcp45	none	2043-12-31	298.6304931641
BH	tasmax	year	HadGEM2-ES	rcp45	none	2044-12-31	298.5217285156
BH	tasmax	year	HadGEM2-ES	rcp45	none	2045-12-31	297.1969604492
BH	tasmax	year	HadGEM2-ES	rcp45	none	2046-12-31	297.671875
BH	tasmax	year	HadGEM2-ES	rcp45	none	2047-12-31	298.1452331543
BH	tasmax	year	HadGEM2-ES	rcp45	none	2048-12-31	298.463470459
BH	tasmax	year	HadGEM2-ES	rcp45	none	2049-12-31	298.0202941895
BH	tasmax	year	HadGEM2-ES	rcp45	none	2050-12-31	298.1312866211
BH	tasmax	year	HadGEM2-ES	rcp45	none	2051-12-31	298.5038146973
BH	tasmax	year	HadGEM2-ES	rcp45	none	2052-12-31	297.9496459961
BH	tasmax	year	HadGEM2-ES	rcp45	none	2053-12-31	297.8833007812
BH	tasmax	year	HadGEM2-ES	rcp45	none	2054-12-31	298.6708984375
BH	tasmax	year	HadGEM2-ES	rcp45	none	2055-12-31	297.8674926758
BH	tasmax	year	HadGEM2-ES	rcp45	none	2056-12-31	298.2791442871
BH	tasmax	year	HadGEM2-ES	rcp45	none	2057-12-31	299.3676452637
BH	tasmax	year	HadGEM2-ES	rcp45	none	2058-12-31	299.4370117188
BH	tasmax	year	HadGEM2-ES	rcp45	none	2059-12-31	299.7168273926
BH	tasmax	year	HadGEM2-ES	rcp45	none	2060-12-31	297.7377319336
BH	tasmax	year	HadGEM2-ES	rcp45	none	2061-12-31	298.1005249023
BH	tasmax	year	HadGEM2-ES	rcp45	none	2062-12-31	298.8620605469
BH	tasmax	year	HadGEM2-ES	rcp45	none	2063-12-31	298.5791320801
BH	tasmax	year	HadGEM2-ES	rcp45	none	2064-12-31	299.8325500488
BH	tasmax	year	HadGEM2-ES	rcp45	none	2065-12-31	298.3372192383
BH	tasmax	year	HadGEM2-ES	rcp45	none	2066-12-31	299.7219543457
BH	tasmax	year	HadGEM2-ES	rcp45	none	2067-12-31	298.7948913574
BH	tasmax	year	HadGEM2-ES	rcp45	none	2068-12-31	298.6100158691
BH	tasmax	year	HadGEM2-ES	rcp45	none	2069-12-31	298.5074462891
BH	tasmax	year	HadGEM2-ES	rcp45	none	2070-12-31	299.0539550781
BH	tasmax	year	HadGEM2-ES	rcp45	none	2071-12-31	299.2347106934
BH	tasmax	year	HadGEM2-ES	rcp45	none	2072-12-31	299.4219665527
BH	tasmax	year	HadGEM2-ES	rcp45	none	2073-12-31	298.1424865723
BH	tasmax	year	HadGEM2-ES	rcp45	none	2074-12-31	299.6380004883
BH	tasmax	year	HadGEM2-ES	rcp45	none	2075-12-31	298.0615539551
BH	tasmax	year	HadGEM2-ES	rcp45	none	2076-12-31	298.7423400879
BH	tasmax	year	HadGEM2-ES	rcp45	none	2077-12-31	298.3802490234
BH	tasmax	year	HadGEM2-ES	rcp45	none	2078-12-31	299.1828308105
BH	tasmax	year	HadGEM2-ES	rcp45	none	2079-12-31	299.6731567383
BH	tasmax	year	HadGEM2-ES	rcp45	none	2080-12-31	299.0118408203
BH	tasmin	year	HadGEM2-ES	rcp45	none	2040-12-31	280.9807739258
BH	tasmin	year	HadGEM2-ES	rcp45	none	2041-12-31	282.1824035645
BH	tasmin	year	HadGEM2-ES	rcp45	none	2042-12-31	282.2346801758
BH	tasmin	year	HadGEM2-ES	rcp45	none	2043-12-31	282.5840148926
BH	tasmin	year	HadGEM2-ES	rcp45	none	2044-12-31	282.4371948242
BH	tasmin	year	HadGEM2-ES	rcp45	none	2045-12-31	282.0667724609
BH	tasmin	year	HadGEM2-ES	rcp45	none	2046-12-31	282.487701416
BH	tasmin	year	HadGEM2-ES	rcp45	none	2047-12-31	282.2861328125
BH	tasmin	year	HadGEM2-ES	rcp45	none	2048-12-31	282.1976623535
