id	cvar	period	gcm	scenario	spag	dt	val
BH	tasmax	year	HadGEM2-ES	historical	none	1950-12-31	295.8319702148
BH	tasmax	year	HadGEM2-ES	historical	none	1951-12-31	296.640838623
BH	tasmax	year	HadGEM2-ES	historical	none	1952-12-31	295.0308837891
BH	tasmax	year	HadGEM2-ES	historical	none	1953-12-31	295.3211364746
BH	tasmax	year	HadGEM2-ES	historical	none	1954-12-31	295.0776062012
BH	tasmax	year	HadGEM2-ES	historical	none	1955-12-31	294.9061889648
BH	tasmax	year	HadGEM2-ES	historical	none	1956-12-31	295.9951477051
BH	tasmax	year	HadGEM2-ES	historical	none	1957-12-31	295.7629089355
BH	tasmax	year	HadGEM2-ES	historical	none	1958-12-31	295.4161682129
BH	tasmax	year	HadGEM2-ES	historical	none	1959-12-31	294.5692138672
BH	tasmax	year	HadGEM2-ES	historical	none	1960-12-31	296.2516174316
BH	tasmax	year	HadGEM2-ES	historical	none	1961-12-31	295.9347839355
BH	tasmax	year	HadGEM2-ES	historical	none	1962-12-31	294.9990539551
BH	tasmax	year	HadGEM2-ES	historical	none	1963-12-31	294.9536437988
BH	tasmax	year	HadGEM2-ES	historical	none	1964-12-31	294.6667175293
BH	tasmax	year	HadGEM2-ES	historical	none	1965-12-31	296.1265258789
BH	tasmax	year	HadGEM2-ES	historical	none	1966-12-31	296.8034362793
BH	tasmax	year	HadGEM2-ES	historical	none	1967-12-31	294.3541259766
BH	tasmax	year	HadGEM2-ES	historical	none	1968-12-31	294.9480285645
BH	tasmax	year	HadGEM2-ES	historical	none	1969-12-31	294.6379394531
BH	tasmax	year	HadGEM2-ES	historical	none	1970-12-31	295.4475402832
BH	tasmax	year	HadGEM2-ES	historical	none	1971-12-31	295.7644348145
BH	tasmax	year	HadGEM2-ES	historical	none	1972-12-31	296.6909790039
BH	tasmax	year	HadGEM2-ES	historical	none	1973-12-31	296.0096130371
BH	tasmax	year	HadGEM2-ES	historical	none	1974-12-31	296.1306152344
BH	tasmax	year	HadGEM2-ES	historical	none	1975-12-31	295.9686279297
