population	model	experiment	year	tasmax	tasmin	ppt
BH	access-cm2	ssp245	2041	310.81094	276.14972	697.6374344201759
BH	access-cm2	ssp245	2042	310.9609	273.61185	721.2362886406481
BH	access-cm2	ssp245	2043	312.50134	276.71957	1235.8025097520858
BH	access-cm2	ssp245	2044	310.48642	277.56323	467.5341336289421
BH	access-cm2	ssp245	2045	311.01932	276.25583	851.152564957727
BH	access-cm2	ssp245	2046	310.41498	276.47656	1055.753470316979
BH	access-cm2	ssp245	2047	312.41235	277.70743	643.637778237462
BH	access-cm2	ssp245	2048	311.67078	276.77014	550.7526516448706
BH	access-cm2	ssp245	2049	313.88312	272.76825	238.85780973359942
BH	access-cm2	ssp245	2050	310.90472	274.36334	695.2304342994357
BH	access-cm2	ssp245	2051	311.90866	276.8859	411.96186477318406
BH	access-cm2	ssp245	2052	314.11816	276.0008	666.1156637594104
BH	access-cm2	ssp245	2053	312.37735	276.4713	542.8244115435518
BH	access-cm2	ssp245	2054	314.70868	278.26013	380.2745636785403
BH	access-cm2	ssp245	2055	312.06128	276.96783	688.107603415837
BH	access-cm2	ssp245	2056	312.63776	275.75183	918.0014769080865
BH	access-cm2	ssp245	2057	313.1105	275.06726	746.2274061050266
BH	access-cm2	ssp245	2058	312.7078	276.2559	1173.725013155453
BH	access-cm2	ssp245	2059	315.1961	276.57516	1018.2928202440793
BH	access-cm2	ssp245	2060	312.62408	276.5661	366.734159225598
BH	access-cm2	ssp245	2061	313.70096	277.01007	651.2234908703249
BH	access-cm2	ssp245	2062	310.2581	274.61493	1059.951444994653
BH	access-cm2	ssp245	2063	312.25305	277.85092	460.03802175982855
BH	access-cm2	ssp245	2064	313.5829	277.3493	901.7758256290073
BH	access-cm2	ssp245	2065	313.06375	276.3114	909.0919119771308
BH	access-cm2	ssp245	2066	312.25595	276.9958	486.3773495424539
BH	access-cm2	ssp245	2067	313.13358	275.5095	231.57603454892524
BH	access-cm2	ssp245	2068	311.31146	275.3793	854.4091581366956
BH	access-cm2	ssp245	2069	311.36972	277.6968	1335.2305223000958
BH	access-cm2	ssp245	2070	310.13287	277.5595	715.0040651962627
BH	access-cm2	ssp370	2041	310.94208	276.37546	533.6558373179287
BH	access-cm2	ssp370	2042	310.86157	275.1742	1018.5354518238214
BH	access-cm2	ssp370	2043	311.3876	276.94183	464.2692319932394
BH	access-cm2	ssp370	2044	311.8073	276.7381	696.075166692026
BH	access-cm2	ssp370	2045	311.1254	276.90164	478.6421568249352
BH	access-cm2	ssp370	2046	311.2467	277.33676	978.9530648529613
BH	access-cm2	ssp370	2047	311.9218	272.63336	759.5434897695668
BH	access-cm2	ssp370	2048	310.4335	274.4539	400.89079822646454
BH	access-cm2	ssp370	2049	311.4386	276.8455	780.4550666478463
BH	access-cm2	ssp370	2050	314.33655	272.66644	743.0096140131304
BH	access-cm2	ssp370	2051	311.69772	274.8265	673.8148864824325
BH	access-cm2	ssp370	2052	310.36234	277.94742	1009.9502049386263
BH	access-cm2	ssp370	2053	313.60397	275.60632	517.7883049473166
BH	access-cm2	ssp370	2054	310.76358	276.29874	278.1944325193763
BH	access-cm2	ssp370	2055	312.6521	275.65448	499.777812307002
BH	access-cm2	ssp370	2056	311.4381	276.11255	321.89207334886305
BH	access-cm2	ssp370	2057	311.39877	275.2825	708.6427414789796
BH	access-cm2	ssp370	2058	314.1777	276.45035	1035.7082615140725
