population	year	tasmax	tasmin	ppt
BH	1981	308.69899978637693	276.98100008964536	635.288010597229
BH	1982	306.04300155639646	273.3989999979734	1220.6270065307617
BH	1983	305.5220016479492	275.61199989318845	1204.6230017929338
BH	1984	308.7470001220703	274.5909999847412	404.54100373387337
BH	1985	308.2170013427734	273.98799999952314	497.46298813819885
BH	1986	308.01700057983396	275.50700011253355	629.6970136165619
BH	1987	306.27099838256834	273.713000023365	488.07700049877167
BH	1988	308.99199905395506	273.9450000166893	473.2960066795349
BH	1989	307.92000045776365	272.41599997282026	427.5850037932396
BH	1990	307.93799819946287	271.6879999876022	369.66100549697876
BH	1991	307.9940017700195	274.4049999952316	611.2620060443878
BH	1992	307.96399917602537	273.86299999952314	611.8470150232315
BH	1993	305.83899917602537	274.8060000181198	736.0179843902588
BH	1994	308.66800155639646	274.6730000019073	482.89099764823914
BH	1995	307.36799850463865	277.1620000839233	913.145008534193
BH	1996	309.16200103759763	276.55499997138975	1037.2529991269112
BH	1997	306.335001373291	274.7619999885559	542.8680042028427
BH	1998	308.4149993896484	272.5769999861717	963.7769830524921
BH	1999	306.6290000915527	274.44999995231626	434.0299987792969
BH	2000	307.77699890136716	274.997000002861	774.1949872970581
BH	2001	308.3440002441406	273.6360000014305	685.5589969158173
BH	2002	309.17799987792966	274.5430000066757	478.04098677635193
BH	2003	310.10800018310545	275.1059999704361	472.9910017885268
BH	2004	308.3990005493164	274.86899998188017	568.3619927763939
BH	2005	310.30200042724607	276.1130000591278	804.7259900569916
BH	2006	309.93099822998045	274.6369999885559	700.014002084732
BH	2007	307.42000045776365	271.9030000209808	382.27599400281906
BH	2008	307.95799865722654	274.5480000019073	512.656000494957
BH	2009	308.8169998168945	274.36599996089933	571.0720067918301
BH	2010	307.4950012207031	276.3370000362396	941.6610145568848
CC	1981	308.43799819946287	277.5020002365112	1477.2889786064625
CC	1982	306.24999847412107	274.71700003147123	1538.8330080509186
CC	1983	306.0570014953613	276.1109999656677	2099.5419788360596
CC	1984	309.218000793457	275.13000001907346	827.4919857978821
CC	1985	307.8529991149902	273.7730000257492	719.8359990641475
CC	1986	307.9719985961914	275.7469998836517	1305.4500034749508
CC	1987	307.0220016479492	274.1699999809265	986.2829906269908
CC	1988	309.3980010986328	275.535999917984	875.5039887428284
CC	1989	307.4709991455078	274.6259999513626	903.6429915428162
CC	1990	307.7639984130859	272.86500000357626	793.671000957489
CC	1991	307.673998260498	275.5340000629425	961.6790018081665
CC	1992	309.1599983215332	274.94299998283384	1045.5380257964134
CC	1993	306.2279991149902	275.4179998874664	1382.9009914398193
CC	1994	308.71499862670896	275.0390000581741	914.9639964103699
CC	1995	307.71499862670896	278.69899978637693	1794.8820098638535
