id,cvar,gcm,mean_val
BH,pr,CNRM-CM5,2.3439843902439025e-5
BH,pr,CanESM2,2.268555487804878e-5
BH,pr,HadGEM2-ES,1.84599756097561e-5
BH,pr,MIROC5,1.7266356097560975e-5
BH,tasmax,CNRM-CM5,298.31787481540977
BH,tasmax,CanESM2,298.79810612375485
BH,tasmax,HadGEM2-ES,299.1828739817561
BH,tasmax,MIROC5,298.5899122284622
BH,tasmin,CNRM-CM5,282.7896534989476
BH,tasmin,CanESM2,283.2510055914122
BH,tasmin,HadGEM2-ES,283.2684311285207
BH,tasmin,MIROC5,282.3016502566439
CC,pr,CNRM-CM5,5.0759132926829266e-5
CC,pr,CanESM2,4.9331539024390246e-5
CC,pr,HadGEM2-ES,3.947656951219512e-5
CC,pr,MIROC5,3.9912729268292686e-5
CC,tasmax,CNRM-CM5,297.6281957858939
CC,tasmax,CanESM2,298.2295227050805
CC,tasmax,HadGEM2-ES,298.5274613543244
CC,tasmax,MIROC5,297.5878210300305
CC,tasmin,CNRM-CM5,283.23844984101584
CC,tasmin,CanESM2,283.7887193633293
CC,tasmin,HadGEM2-ES,283.6666985488488
CC,tasmin,MIROC5,282.7227135634927
CP2,pr,CNRM-CM5,5.775811585365853e-5
CP2,pr,CanESM2,5.6908874390243904e-5
CP2,pr,HadGEM2-ES,4.584459756097561e-5
CP2,pr,MIROC5,4.506528414634146e-5
CP2,tasmax,CNRM-CM5,289.10235521269755
CP2,tasmax,CanESM2,289.5456193133049
CP2,tasmax,HadGEM2-ES,289.8018396889268
CP2,tasmax,MIROC5,289.1562317638854
CP2,tasmin,CNRM-CM5,275.07054994163536
CP2,tasmin,CanESM2,275.3014358892634
CP2,tasmin,HadGEM2-ES,275.2985891946939
CP2,tasmin,MIROC5,274.51033020019634
CP3,pr,CNRM-CM5,5.834096341463415e-5
CP3,pr,CanESM2,5.733234512195122e-5
CP3,pr,HadGEM2-ES,4.635993902439024e-5
CP3,pr,MIROC5,4.561664756097561e-5
CP3,tasmax,CNRM-CM5,287.9754709383341
CP3,tasmax,CanESM2,288.3430417688878
CP3,tasmax,HadGEM2-ES,288.6109995027854
CP3,tasmax,MIROC5,288.0209157059793
CP3,tasmin,CNRM-CM5,273.8221904475537
CP3,tasmin,CanESM2,273.9000620027878
CP3,tasmin,HadGEM2-ES,273.92038857063903
CP3,tasmin,MIROC5,273.18655134991707
DPR,pr,CNRM-CM5,6.147966829268292e-5
DPR,pr,CanESM2,5.959254756097561e-5
DPR,pr,HadGEM2-ES,4.928326219512195e-5
DPR,pr,MIROC5,4.9669509756097564e-5
DPR,tasmax,CNRM-CM5,294.9422867937756
DPR,tasmax,CanESM2,295.53300736589875
DPR,tasmax,HadGEM2-ES,295.829684001639
DPR,tasmax,MIROC5,294.9803463075219
DPR,tasmin,CNRM-CM5,282.2327028600183
DPR,tasmin,CanESM2,282.81078245581705
DPR,tasmin,HadGEM2-ES,282.69528495975
DPR,tasmin,MIROC5,281.8210720899646
FR,pr,CNRM-CM5,4.187891219512195e-5
FR,pr,CanESM2,4.130653170731707e-5
FR,pr,HadGEM2-ES,3.229206585365854e-5
FR,pr,MIROC5,3.315687317073171e-5
FR,tasmax,CNRM-CM5,293.52720939822564
FR,tasmax,CanESM2,294.02550190251344
FR,tasmax,HadGEM2-ES,294.3266515964378
FR,tasmax,MIROC5,293.3783167397122
FR,tasmin,CNRM-CM5,277.1083887611939
FR,tasmin,CanESM2,277.4828104158683
FR,tasmin,HadGEM2-ES,277.3871299929695
FR,tasmin,MIROC5,276.2086088599232
IH,pr,CNRM-CM5,4.86265743902439e-5
IH,pr,CanESM2,4.714813902439024e-5
IH,pr,HadGEM2-ES,3.937815e-5
IH,pr,MIROC5,3.928414390243902e-5
IH,tasmax,CNRM-CM5,297.5482229837598
IH,tasmax,CanESM2,298.17523118925976
IH,tasmax,HadGEM2-ES,298.3897801841183
IH,tasmax,MIROC5,297.56406793361583
IH,tasmin,CNRM-CM5,283.8152231356024
IH,tasmin,CanESM2,284.3819513088342
IH,tasmin,HadGEM2-ES,284.2097086092329
IH,tasmin,MIROC5,283.4251831799049
LV1,pr,CNRM-CM5,9.401781097560975e-5
LV1,pr,CanESM2,9.164935243902439e-5
LV1,pr,HadGEM2-ES,7.264794268292683e-5
LV1,pr,MIROC5,7.821149390243902e-5
LV1,tasmax,CNRM-CM5,285.54961897687684
LV1,tasmax,CanESM2,286.1421460407549
LV1,tasmax,HadGEM2-ES,286.43456659084757
LV1,tasmax,MIROC5,285.30054566917806
LV1,tasmin,CNRM-CM5,270.8543693728573
LV1,tasmin,CanESM2,271.28840823289636
LV1,tasmin,HadGEM2-ES,271.3244163699244
LV1,tasmin,MIROC5,270.13281250000733
LV3,pr,CNRM-CM5,9.401781097560975e-5
LV3,pr,CanESM2,9.164935243902439e-5
LV3,pr,HadGEM2-ES,7.264794268292683e-5
LV3,pr,MIROC5,7.821149390243902e-5
LV3,tasmax,CNRM-CM5,285.54961897687684
LV3,tasmax,CanESM2,286.1421460407549
LV3,tasmax,HadGEM2-ES,286.43456659084757
LV3,tasmax,MIROC5,285.30054566917806
LV3,tasmin,CNRM-CM5,270.8543693728573
LV3,tasmin,CanESM2,271.28840823289636
LV3,tasmin,HadGEM2-ES,271.3244163699244
