population	model	scenario	offset	Elevation	Lat	Long
BH	access-cm2	ssp245	1.1309268053798762	511.4294422	37.40985	-119.96458
CC	access-cm2	ssp245	1.9630345395010553	313	39.58597	-121.43311
CP2	access-cm2	ssp245	1.5086521749064579	2244.132886	38.66169	-120.13065
CP3	access-cm2	ssp245	1.2225513092775269	2266.382201	38.70649	-120.08797
DPR	access-cm2	ssp245	2.1436739870707586	1018.591893	39.22846	-120.81518
FR	access-cm2	ssp245	1.4484760618470582	787	40.01362	-121.18498
IH	access-cm2	ssp245	2.0701292562078835	454.1298385	39.09332	-120.92114
LV1	access-cm2	ssp245	0.8314468997525352	2593.416641	40.47471	-121.50486
LV3	access-cm2	ssp245	0.8419178990281335	2353.550747	40.47917	-121.52311
LVTR1	access-cm2	ssp245	1.0028275737001455	2741.38982	40.47917	-121.5032
SC	access-cm2	ssp245	1.832249917579851	421.5178299	38.41167	-120.73583000000001
SQ1	access-cm2	ssp245	1.0756903476022361	1921.036585	36.56435	-118.7764
SQ2	access-cm2	ssp245	1.5474457702296003	1934.45122	36.66557	-118.83543
SQ3	access-cm2	ssp245	1.292326524194552	2373.170732	36.72109	-118.84933
TM2	access-cm2	ssp245	1.9263347539652715	379.1526973	39.59255	-121.55072
WL1	access-cm2	ssp245	1.4284008197713594	1613.837245	38.78608	-120.2143
WL2	access-cm2	ssp245	1.9051327621029743	2020.115818	38.8263	-120.25242
WR	access-cm2	ssp245	1.7040740769533114	1158	39.34346	-120.80659
YO11	access-cm2	ssp245	1.1074674296081706	2872.295032	37.93844	-119.23157
YO4	access-cm2	ssp245	2.250165272227633	2157.57391	37.76378	-119.77244
YO7	access-cm2	ssp245	1.4125514002831965	2469.978665	37.80903	-119.56605
YO8	access-cm2	ssp245	1.163237882912431	2590.97836	37.81117	-119.48624
BH	access-cm2	ssp370	0.7027718831548375	511.4294422	37.40985	-119.96458
CC	access-cm2	ssp370	1.59533218913193	313	39.58597	-121.43311
CP2	access-cm2	ssp370	1.5560350218266135	2244.132886	38.66169	-120.13065
CP3	access-cm2	ssp370	1.3273409171034438	2266.382201	38.70649	-120.08797
DPR	access-cm2	ssp370	1.8148575889994603	1018.591893	39.22846	-120.81518
FR	access-cm2	ssp370	1.2719776270142769	787	40.01362	-121.18498
IH	access-cm2	ssp370	1.6468976735807692	454.1298385	39.09332	-120.92114
LV1	access-cm2	ssp370	0.6354423315553104	2593.416641	40.47471	-121.50486
LV3	access-cm2	ssp370	0.6369168606411368	2353.550747	40.47917	-121.52311
LVTR1	access-cm2	ssp370	0.8684759749580983	2741.38982	40.47917	-121.5032
SC	access-cm2	ssp370	1.1122825246996304	421.5178299	38.41167	-120.73583000000001
SQ1	access-cm2	ssp370	1.2646097718445795	1921.036585	36.56435	-118.7764
SQ2	access-cm2	ssp370	1.2453209846802882	1934.45122	36.66557	-118.83543
SQ3	access-cm2	ssp370	0.8284063862857601	2373.170732	36.72109	-118.84933
TM2	access-cm2	ssp370	1.5369125024126018	379.1526973	39.59255	-121.55072
WL1	access-cm2	ssp370	1.5348699876360405	1613.837245	38.78608	-120.2143
WL2	access-cm2	ssp370	1.800852290635805	2020.115818	38.8263	-120.25242
WR	access-cm2	ssp370	1.2817592195857328	1158	39.34346	-120.80659
YO11	access-cm2	ssp370	1.4878677238985174	2872.295032	37.93844	-119.23157
YO4	access-cm2	ssp370	2.2164947495360767	2157.57391	37.76378	-119.77244
YO7	access-cm2	ssp370	1.8504240183538108	2469.978665	37.80903	-119.56605
YO8	access-cm2	ssp370	1.7978307250395573	2590.97836	37.81117	-119.48624
BH	cnrm-esm2-1	ssp245	0.6084309410118105	511.4294422	37.40985	-119.96458
CC	cnrm-esm2-1	ssp245	0.6356888451675572	313	39.58597	-121.43311
CP2	cnrm-esm2-1	ssp245	0.4744145450240571	2244.132886	38.66169	-120.13065
CP3	cnrm-esm2-1	ssp245	0.5167554048509417	2266.382201	38.70649	-120.08797
DPR	cnrm-esm2-1	ssp245	0.5638141088628164	1018.591893	39.22846	-120.81518
FR	cnrm-esm2-1	ssp245	0.25223074802031326	787	40.01362	-121.18498
IH	cnrm-esm2-1	ssp245	0.451352558025524	454.1298385	39.09332	-120.92114
LV1	cnrm-esm2-1	ssp245	1.311180692520418	2593.416641	40.47471	-121.50486
LV3	cnrm-esm2-1	ssp245	1.2693596643308245	2353.550747	40.47917	-121.52311
LVTR1	cnrm-esm2-1	ssp245	1.6738378322328915	2741.38982	40.47917	-121.5032
SC	cnrm-esm2-1	ssp245	0.49397348445960965	421.5178299	38.41167	-120.73583000000001
SQ1	cnrm-esm2-1	ssp245	1.2008222426364026	1921.036585	36.56435	-118.7764
SQ2	cnrm-esm2-1	ssp245	1.583509459156114	1934.45122	36.66557	-118.83543
SQ3	cnrm-esm2-1	ssp245	1.2592337435630654	2373.170732	36.72109	-118.84933
TM2	cnrm-esm2-1	ssp245	0.8467463973086055	379.1526973	39.59255	-121.55072
WL1	cnrm-esm2-1	ssp245	0.5736832431943466	1613.837245	38.78608	-120.2143
WL2	cnrm-esm2-1	ssp245	0.48194028783256393	2020.115818	38.8263	-120.25242
WR	cnrm-esm2-1	ssp245	0.3221777287786528	1158	39.34346	-120.80659
YO11	cnrm-esm2-1	ssp245	1.7115864572502102	2872.295032	37.93844	-119.23157
YO4	cnrm-esm2-1	ssp245	0.9254296891145701	2157.57391	37.76378	-119.77244
YO7	cnrm-esm2-1	ssp245	0.5405565284256066	2469.978665	37.80903	-119.56605
YO8	cnrm-esm2-1	ssp245	1.0584228737119157	2590.97836	37.81117	-119.48624
BH	cnrm-esm2-1	ssp370	0.9877287456541098	511.4294422	37.40985	-119.96458
CC	cnrm-esm2-1	ssp370	1.7701044721783714	313	39.58597	-121.43311
CP2	cnrm-esm2-1	ssp370	1.5459639484611365	2244.132886	38.66169	-120.13065
CP3	cnrm-esm2-1	ssp370	1.067211048853949	2266.382201	38.70649	-120.08797
DPR	cnrm-esm2-1	ssp370	1.6617321943971453	1018.591893	39.22846	-120.81518
FR	cnrm-esm2-1	ssp370	1.1576083143153215	787	40.01362	-121.18498
IH	cnrm-esm2-1	ssp370	1.6311557442073692	454.1298385	39.09332	-120.92114
LV1	cnrm-esm2-1	ssp370	2.490899295506827	2593.416641	40.47471	-121.50486
LV3	cnrm-esm2-1	ssp370	2.5297106323127956	2353.550747	40.47917	-121.52311
LVTR1	cnrm-esm2-1	ssp370	2.390277158609196	2741.38982	40.47917	-121.5032
SC	cnrm-esm2-1	ssp370	1.2614057498993463	421.5178299	38.41167	-120.73583000000001
SQ1	cnrm-esm2-1	ssp370	1.2696706512473808	1921.036585	36.56435	-118.7764
SQ2	cnrm-esm2-1	ssp370	1.3491914631346338	1934.45122	36.66557	-118.83543
SQ3	cnrm-esm2-1	ssp370	0.9401626899601141	2373.170732	36.72109	-118.84933
TM2	cnrm-esm2-1	ssp370	1.5863505937166442	379.1526973	39.59255	-121.55072
WL1	cnrm-esm2-1	ssp370	1.4902938378139978	1613.837245	38.78608	-120.2143
WL2	cnrm-esm2-1	ssp370	1.7912166905860487	2020.115818	38.8263	-120.25242
WR	cnrm-esm2-1	ssp370	1.3913325928897244	1158	39.34346	-120.80659
YO11	cnrm-esm2-1	ssp370	1.210852720980987	2872.295032	37.93844	-119.23157
YO4	cnrm-esm2-1	ssp370	2.15563595412838	2157.57391	37.76378	-119.77244
YO7	cnrm-esm2-1	ssp370	2.0033113677043684	2469.978665	37.80903	-119.56605
YO8	cnrm-esm2-1	ssp370	1.5022849318471694	2590.97836	37.81117	-119.48624
BH	ec-earth3-veg	ssp245	0.3840230846151422	511.4294422	37.40985	-119.96458
CC	ec-earth3-veg	ssp245	0.7104080807381162	313	39.58597	-121.43311
CP2	ec-earth3-veg	ssp245	1.1801891857019842	2244.132886	38.66169	-120.13065
CP3	ec-earth3-veg	ssp245	0.8699878248581212	2266.382201	38.70649	-120.08797
DPR	ec-earth3-veg	ssp245	1.536678987464016	1018.591893	39.22846	-120.81518
FR	ec-earth3-veg	ssp245	0.4446073160176113	787	40.01362	-121.18498
IH	ec-earth3-veg	ssp245	1.1071946058267594	454.1298385	39.09332	-120.92114
LV1	ec-earth3-veg	ssp245	1.2515743569746391	2593.416641	40.47471	-121.50486
LV3	ec-earth3-veg	ssp245	1.252371718040973	2353.550747	40.47917	-121.52311
LVTR1	ec-earth3-veg	ssp245	1.4558462649517165	2741.38982	40.47917	-121.5032
SC	ec-earth3-veg	ssp245	0.729216715970849	421.5178299	38.41167	-120.73583000000001
SQ1	ec-earth3-veg	ssp245	0.9273281588192147	1921.036585	36.56435	-118.7764
SQ2	ec-earth3-veg	ssp245	1.4266313649087958	1934.45122	36.66557	-118.83543
SQ3	ec-earth3-veg	ssp245	1.1382781753680575	2373.170732	36.72109	-118.84933
TM2	ec-earth3-veg	ssp245	0.6670957043507152	379.1526973	39.59255	-121.55072
WL1	ec-earth3-veg	ssp245	1.0267249565938277	1613.837245	38.78608	-120.2143
WL2	ec-earth3-veg	ssp245	1.4952390687936166	2020.115818	38.8263	-120.25242
WR	ec-earth3-veg	ssp245	1.3467110721192104	1158	39.34346	-120.80659
